VANLALHLANA,Aizawl  North - i,Independent,7094

LALRINGLIANA,Aizawl  North - i,Mizo National Front,5929

C.LALHLIMPUIA,Aizawl  North - i,Indian National Congress,3595

LALRUATFELI HLAWNDO,Aizawl  North - i,Independent,700

DAVID LALFAKZUALA,Aizawl  North - i,Bharatiya Janata Party,225

VANLALRUATA,Aizawl  North - i,Peoples Representation for Identity and Status of Mizoram (PRISM) Party,77

None of the Above,Aizawl  North - i,None of the Above,74

ZORAMTHANGA,Aizawl East - i,Mizo National Front,8358

K SAPDANGA,Aizawl East - i,Independent,5854

K VANLALRAWNA,Aizawl East - i,Indian National Congress,4768

LALDINLIANA SAILO,Aizawl East - i,Bharatiya Janata Party,260

ZOSANGLIANA,Aizawl East - i,Independent,146

K. LALRINPUII,Aizawl East - i,Nationalist Congress Party,102

None of the Above,Aizawl East - i,None of the Above,63

ROBERT ROMAWIA ROYTE,Aizawl East ii,Mizo National Front,5869

B LALCHHANZOVA,Aizawl East ii,Independent,4377

LALSAWTA,Aizawl East ii,Indian National Congress,3818

T LALMALSAWMI,Aizawl East ii,Bharatiya Janata Party,112

None of the Above,Aizawl East ii,None of the Above,47

VANLALTHLANA,Aizawl North - ii,Independent,7775

LALTLANZOVA KHIANGTE,Aizawl North - ii,Mizo National Front,5974

H. LIANSAILOVA,Aizawl North - ii,Indian National Congress,4106

LALHRILZELI HLAWNDO,Aizawl North - ii,Independent,98

C. LALNUNZIRI,Aizawl North - ii,Bharatiya Janata Party,69

ROCHUNGNUNGA,Aizawl North - ii,Peoples Representation for Identity and Status of Mizoram (PRISM) Party,39

None of the Above,Aizawl North - ii,None of the Above,51

C LALMUANPUIA,Aizawl North-iii,Mizo National Front,5166

LAL THANZARA,Aizawl North-iii,Indian National Congress,4732

LALHMINGTHANGA,Aizawl North-iii,Independent,4510

LALREMSIAMA RALTE,Aizawl North-iii,Independent,139

VL AWIA,Aizawl North-iii,Bharatiya Janata Party,77

None of the Above,Aizawl North-iii,None of the Above,49

C. LALSAWIVUNGA,Aizawl South i,Independent,6808

K. LIANTLINGA,Aizawl South i,Mizo National Front,5759

R. VANLALVENA,Aizawl South i,Indian National Congress,4208

DR ZONUNTLUANGA,Aizawl South i,Bharatiya Janata Party,177

HK LIANSAWTA,Aizawl South i,Peoples Representation for Identity and Status of Mizoram (PRISM) Party,111

LALTHLAMUANI,Aizawl South i,Independent,69

None of the Above,Aizawl South i,None of the Above,64

LALCHHUANTHANGA,Aizawl South ii,Independent,7294

DENGHMINGTHANGA,Aizawl South ii,Mizo National Front,7115

LT. COL. ZOSANGZUALA,Aizawl South ii,Indian National Congress,4836

R LALCHHUANAWMI,Aizawl South ii,Independent,173

None of the Above,Aizawl South ii,None of the Above,63

F. LALNUNMAWIA,Aizawl South-iii,Mizo National Front,7558

K.S THANGA,Aizawl South-iii,Indian National Congress,5470

RD LALRAMMAWIA,Aizawl South-iii,Independent,3175

F. LALREMSANGI,Aizawl South-iii,Bharatiya Janata Party,1046

TLANGNGAIHTHANGA,Aizawl South-iii,Independent,86

None of the Above,Aizawl South-iii,None of the Above,52

LALDUHOMA,Aizawl West i,Independent,7889

K. SANGTHUAMA,Aizawl West i,Mizo National Front,6829

P.C. LALTLANSANGA,Aizawl West i,Indian National Congress,5039

LALRODINGA COLNEY,Aizawl West i,Bharatiya Janata Party,287

ZAICHHAWNA HLAWNDO,Aizawl West i,Independent,228

LALHRUAIA,Aizawl West i,Nationalist Congress Party,46

None of the Above,Aizawl West i,None of the Above,60

LALRUATKIMA,Aizawl West ii,Mizo National Front,7626

DR. LALMALSAWMA NGHAKA,Aizawl West ii,Indian National Congress,4906

LALHMANGAIHA SAILO,Aizawl West ii,Independent,4070

C LALCHAWIMAWIA,Aizawl West ii,Bharatiya Janata Party,106

DR LALMUANA,Aizawl West ii,Independent,80

C LALTANPUIA,Aizawl West ii,Peoples Representation for Identity and Status of Mizoram (PRISM) Party,48

None of the Above,Aizawl West ii,None of the Above,35

V.L. ZAITHANZAMA,Aizawl West iii,Independent,6934

VANLALZAWMA,Aizawl West iii,Mizo National Front,5908

DR. C.T. TLUANGA,Aizawl West iii,Indian National Congress,3521

R LALZAMLIANA,Aizawl West iii,Bharatiya Janata Party,400

None of the Above,Aizawl West iii,None of the Above,57

LALRINLIANA SAILO,Chalfilh,Mizo National Front,5541

F. RUALHLEIA,Chalfilh,Independent,4534

L. T. HRANGCHAL,Chalfilh,Indian National Congress,4144

P. SANGHMINGTHANGA,Chalfilh,Bharatiya Janata Party,678

None of the Above,Chalfilh,None of the Above,81

DR ZR.THIAMSANGA,Champhai North,Mizo National Front,6057

T.T. ZOTHANSANGA,Champhai North,Indian National Congress,4964

C.LALCHHAWNTHANGA,Champhai North,Independent,2278

C.HRANGSATKIMA,Champhai North,Bharatiya Janata Party,980

B.SUANZALANG,Champhai North,National People's Party,273

TBC LALVENCHHUNGA,Champhai North,Peoples Representation for Identity and Status of Mizoram (PRISM) Party,161

None of the Above,Champhai North,None of the Above,30

T.J LALNUNTLUANGA,Champhai South,Mizo National Front,5212

LAL THANHAWLA,Champhai South,Indian National Congress,4163

C. LALREMLIANA,Champhai South,Independent,3957

RONGHAKA,Champhai South,Bharatiya Janata Party,847

TLANGNGAIHTHANGA,Champhai South,Independent,72

None of the Above,Champhai South,None of the Above,50

LALRINTLUANGA SAILO,Dampa,Mizo National Front,5840

LALROBIAKA,Dampa,Indian National Congress,4183

ER. K. LALRIMAWIA,Dampa,Bharatiya Janata Party,3051

F LALRINTLUANGI,Dampa,Independent,1920

LALRINZUALA CHAWNGTHU,Dampa,Peoples Representation for Identity and Status of Mizoram (PRISM) Party,133

LIANZUALA,Dampa,National People's Party,106

LALCHUHVELA,Dampa,Independent,33

